"","LMA_g_m2.12.comps"
"Wave_705",-5.72438061156175
"Wave_706",-4.6588394049626
"Wave_707",-3.47758993306822
"Wave_708",-1.07142920687807
"Wave_709",-0.720647356613941
"Wave_710",0.652043744426781
"Wave_711",3.36034061831548
"Wave_712",5.29512422085276
"Wave_713",4.09975870408933
"Wave_714",4.37402955174017
"Wave_715",4.93483455742254
"Wave_716",4.84663310812435
"Wave_717",4.40640079125622
"Wave_718",5.64299174619776
"Wave_719",5.24296379547564
"Wave_720",4.31873766941558
"Wave_721",4.29736759406576
"Wave_722",4.03431022855746
"Wave_723",1.90333832483404
"Wave_724",0.42431742268963
"Wave_725",-0.857023561002132
"Wave_726",-2.72350370017896
"Wave_727",-3.73011159585069
"Wave_728",-5.48031665290488
"Wave_729",-6.18356288162334
"Wave_730",-6.79481330701326
"Wave_731",-8.1204169372459
"Wave_732",-8.88343808104979
"Wave_733",-9.83956757468515
"Wave_734",-11.4061059075182
"Wave_735",-12.6162476721952
"Wave_736",-13.3414487969886
"Wave_737",-13.888740955058
"Wave_738",-14.5088861992699
"Wave_739",-15.3161952240347
"Wave_740",-15.7550607587129
"Wave_741",-16.787933284191
"Wave_742",-17.6225874524547
"Wave_743",-16.7449040467973
"Wave_744",-16.971312618333
"Wave_745",-16.5635008654984
"Wave_746",-17.1766414304638
"Wave_747",-17.8411636764603
"Wave_748",-17.2199980767735
"Wave_749",-15.4128222477124
"Wave_750",-13.5589455537361
"Wave_751",-13.2438679721274
"Wave_752",-12.9114343030144
"Wave_753",-11.5585829022746
"Wave_754",-11.0358599721157
"Wave_755",-10.7897980219205
"Wave_756",-11.0024951725097
"Wave_757",-9.249984018804
"Wave_758",-8.94181273811307
"Wave_759",-8.15787108203748
"Wave_760",-7.53476390063247
"Wave_761",-7.37390626716502
"Wave_762",-5.86779743502944
"Wave_763",-5.09876570526085
"Wave_764",-4.41051326788037
"Wave_765",-3.6486667600175
"Wave_766",-2.90085664702242
"Wave_767",-2.37906207514526
"Wave_768",-1.4427574098581
"Wave_769",-1.55417640661373
"Wave_770",-1.67675143518209
"Wave_771",0.155267233510507
"Wave_772",1.00770318425471
"Wave_773",0.43813725120811
"Wave_774",1.9918768043141
"Wave_775",2.14146246715609
"Wave_776",1.62681090291741
"Wave_777",3.04467578220466
"Wave_778",2.27931430264427
"Wave_779",4.05861813698827
"Wave_780",6.0318344695996
"Wave_781",4.27891266079397
"Wave_782",3.57619005617282
"Wave_783",4.23294061663178
"Wave_784",4.30431344951158
"Wave_785",6.07388806646655
"Wave_786",4.30013026603831
"Wave_787",4.89627461597942
"Wave_788",6.6279970137311
"Wave_789",6.80493589827279
"Wave_790",5.91386499354608
"Wave_791",6.88898183780185
"Wave_792",6.63912500860191
"Wave_793",6.31719687745083
"Wave_794",5.90071917889162
"Wave_795",6.67473094951212
"Wave_796",6.94743665292368
"Wave_797",6.31303518442656
"Wave_798",6.0273847505544
"Wave_799",6.76615753881145
"Wave_800",7.05480280922193
"Wave_801",6.35879870342296
"Wave_802",6.03770899421937
"Wave_803",5.650429660848
"Wave_804",6.12043858028627
"Wave_805",6.19780487686732
"Wave_806",6.57289357562397
"Wave_807",6.6314437169169
"Wave_808",6.56743542495468
"Wave_809",6.47869685290285
"Wave_810",7.19865553827558
"Wave_811",7.73368414799061
"Wave_812",8.34334433841614
"Wave_813",7.2656808275227
"Wave_814",5.04508880798138
"Wave_815",4.05498876102612
"Wave_816",5.24898815394306
"Wave_817",6.4590076520514
"Wave_818",6.13701193530479
"Wave_819",7.63213288891798
"Wave_820",8.34876490203924
"Wave_821",6.02760045740071
"Wave_822",5.47661126287792
"Wave_823",5.12002363602453
"Wave_824",3.32506028012781
"Wave_825",4.75378633700003
"Wave_826",5.92552816264584
"Wave_827",5.71934802082798
"Wave_828",4.37750102107928
"Wave_829",4.34184392519323
"Wave_830",3.27825216945046
"Wave_831",4.50017693886879
"Wave_832",4.70057758599791
"Wave_833",4.25668311465977
"Wave_834",3.31367245352214
"Wave_835",1.50251982384233
"Wave_836",3.47718114682462
"Wave_837",3.31649533205809
"Wave_838",1.35833802289896
"Wave_839",0.151775234677355
"Wave_840",0.802470180166476
"Wave_841",1.75569632783615
"Wave_842",4.24644907600999
"Wave_843",1.28317836482285
"Wave_844",1.51891379964832
"Wave_845",4.43131831063464
"Wave_846",-2.01373882318966
"Wave_847",-2.30601630141055
"Wave_848",2.02236947855896
"Wave_849",0.930647715569156
"Wave_850",-0.0985394868742129
"Wave_851",1.34920273776088
"Wave_852",1.81433295167632
"Wave_853",0.559342722635937
"Wave_854",-1.73133757312287
"Wave_855",0.835701229253114
"Wave_856",-0.674634101445809
"Wave_857",-1.23366230936167
"Wave_858",-1.85853318642586
"Wave_859",-2.55566037985249
"Wave_860",-1.41453399100841
"Wave_861",-0.107732602025758
"Wave_862",-0.457374607432266
"Wave_863",-1.19065264210882
"Wave_864",-3.04759562588211
"Wave_865",-6.31133067951432
"Wave_866",-4.65764603299711
"Wave_867",-3.38717365728493
"Wave_868",-3.77926830170452
"Wave_869",-1.62107636834
"Wave_870",-0.804715094900138
"Wave_871",-2.19058488519834
"Wave_872",-3.77021537320852
"Wave_873",-2.27869496709064
"Wave_874",-2.38421849142181
"Wave_875",-4.58634371621299
"Wave_876",-6.56819844135613
"Wave_877",-2.84095107387645
"Wave_878",0.019814745205144
"Wave_879",-1.71942630902845
"Wave_880",-2.03013990026751
"Wave_881",-2.46458653263247
"Wave_882",-3.42303028533277
"Wave_883",-3.49103044189066
"Wave_884",-5.46903583784486
"Wave_885",-5.41840181240776
"Wave_886",-4.79436727918076
"Wave_887",-4.40498980778269
"Wave_888",-4.54466418766364
"Wave_889",-3.69901332166576
"Wave_890",-8.32456383928286
"Wave_891",-4.34188134452897
"Wave_892",-3.25471362167848
"Wave_893",-2.93195796444018
"Wave_894",-2.63109613953915
"Wave_895",-1.90198210747437
"Wave_896",-6.04908452826445
"Wave_897",-6.10437836841575
"Wave_898",-7.8961239903015
"Wave_899",-7.82237285037007
"Wave_900",-5.7654797951664
"Wave_901",-7.21559789915827
"Wave_902",-4.48521049000976
"Wave_903",-3.65957986502223
"Wave_904",-4.82383250617066
"Wave_905",-4.65354854008307
"Wave_906",-4.35212465436909
"Wave_907",-6.27818566631839
"Wave_908",-5.58041207008185
"Wave_909",-4.59772040060379
"Wave_910",-3.29750439478357
"Wave_911",-3.91700290587834
"Wave_912",-6.70345502049285
"Wave_913",-9.42310812610101
"Wave_914",-7.41192038071561
"Wave_915",-7.27605396161643
"Wave_916",-10.0828938992528
"Wave_917",-6.8442603709019
"Wave_918",-5.67123021139308
"Wave_919",-7.61404084998984
"Wave_920",-5.81876160659917
"Wave_921",-4.75865223704129
"Wave_922",-7.90688432065037
"Wave_923",-7.37112026448689
"Wave_924",-5.2292598400507
"Wave_925",-6.61474939540301
"Wave_926",-9.44237509671227
"Wave_927",-5.36182876427635
"Wave_928",-2.83040970768788
"Wave_929",-2.0797928728546
"Wave_930",-3.6402114351915
"Wave_931",-5.59955054207184
"Wave_932",-3.54647678998831
"Wave_933",1.34731915710162
"Wave_934",-0.292328812549772
"Wave_935",-4.9264983908391
"Wave_936",-5.72721726655134
"Wave_937",-3.74126668291506
"Wave_938",-1.86834633342885
"Wave_939",1.0775515491091
"Wave_940",3.61927257674837
"Wave_941",1.11536267063229
"Wave_942",-5.24755676247098
"Wave_943",-6.87793065433924
"Wave_944",-4.98613268047763
"Wave_945",-4.15936358325917
"Wave_946",-3.63245021185314
"Wave_947",-1.10450428652968
"Wave_948",-3.99695463627111
"Wave_949",-11.184279403114
"Wave_950",-3.82784685784007
"Wave_951",-3.05276955124572
"Wave_952",-0.0618221955397695
"Wave_953",4.033793324585
"Wave_954",3.7676907911282
"Wave_955",-2.66951136046474
"Wave_956",-6.7807129539826
"Wave_957",-0.699484359009241
"Wave_958",1.96325271761693
"Wave_959",3.12430600505702
"Wave_960",0.899011620546241
"Wave_961",-0.870992148025873
"Wave_962",3.23507831572315
"Wave_963",4.36952999720016
"Wave_964",-2.17377214730106
"Wave_965",0.921689561433487
"Wave_966",0.220859883856074
"Wave_967",-2.60978826481059
"Wave_968",-3.83213613771877
"Wave_969",-3.44492295695492
"Wave_970",-1.8487002914177
"Wave_971",0.921755822979173
"Wave_972",1.69771945213893
"Wave_973",1.98492326715436
"Wave_974",2.27212721404236
"Wave_975",3.1027998986357
"Wave_976",3.56466719405947
"Wave_977",3.26952552235104
"Wave_978",2.97438191987157
"Wave_979",2.20944560646758
"Wave_980",2.09599890157513
"Wave_981",2.45167756668971
"Wave_982",2.79524664535419
"Wave_983",3.02983164908309
"Wave_984",4.70674140621101
"Wave_985",6.74423353982669
"Wave_986",8.65502053840119
"Wave_987",10.0589926327813
"Wave_988",10.54723129505
"Wave_989",11.0354700885663
"Wave_990",11.0324917569515
"Wave_991",10.1318599306403
"Wave_992",8.58792451536757
"Wave_993",7.04398886295226
"Wave_994",6.51725564042048
"Wave_995",7.52049814750049
"Wave_996",10.5113725315034
"Wave_997",13.5022468797048
"Wave_998",14.3689372419161
"Wave_999",13.3560902263519
"Wave_1000",11.3740737397321
"Wave_1001",9.39205583372142
"Wave_1002",8.6113824528013
"Wave_1003",7.72736126659698
"Wave_1004",6.74183997663875
"Wave_1005",5.83195229019539
"Wave_1006",5.60275782032822
"Wave_1007",6.65030111410936
"Wave_1008",7.83970419379309
"Wave_1009",8.70836491562128
"Wave_1010",8.24135545390156
"Wave_1011",7.30003770975802
"Wave_1012",6.35871994494946
"Wave_1013",5.52300155861627
"Wave_1014",4.78171904735185
"Wave_1015",3.89119232108316
"Wave_1016",3.00066554774481
"Wave_1017",2.52140565104298
"Wave_1018",2.12206748232692
"Wave_1019",1.52847335283898
"Wave_1020",0.934878272809411
"Wave_1021",0.221193521482719
"Wave_1022",-0.319452164463231
