"","protein_mg_m2.12.comps"
"Wave_703",2.18906436757812
"Wave_704",1.92312597557652
"Wave_705",1.78976572239469
"Wave_706",1.5546676762058
"Wave_707",1.12398146908116
"Wave_708",0.518990602366004
"Wave_709",0.369215737336944
"Wave_710",0.396840829566671
"Wave_711",0.22510816790128
"Wave_712",-0.0487148043694546
"Wave_713",-0.230914321947668
"Wave_714",-0.934624452668558
"Wave_715",-1.53477457450502
"Wave_716",-1.57835487847321
"Wave_717",-1.51331832690963
"Wave_718",-1.75551232873575
"Wave_719",-1.38974444855413
"Wave_720",-1.35505811182484
"Wave_721",-1.80518926903523
"Wave_722",-1.613955728612
"Wave_723",-0.980864844003805
"Wave_724",-0.24466364164253
"Wave_725",0.424674264486959
"Wave_726",0.895404404954884
"Wave_727",1.3487904468447
"Wave_728",1.55333132513353
"Wave_729",0.859731691412756
"Wave_730",-0.652261864538676
"Wave_731",-0.318961554802539
"Wave_732",0.163357320280567
"Wave_733",-0.22700469066366
"Wave_734",-0.614522121934407
"Wave_735",-2.05827294370177
"Wave_736",-3.17347128966162
"Wave_737",-4.33384028675133
"Wave_738",-6.08728889910631
"Wave_739",-6.45714927316363
"Wave_740",-6.11376665622764
"Wave_741",-6.06462307675186
"Wave_742",-6.10143749582585
"Wave_743",-6.29584157852418
"Wave_744",-5.53748022925319
"Wave_745",-5.4563346849305
"Wave_746",-5.65972764683692
"Wave_747",-5.42286446963625
"Wave_748",-5.43902452799877
"Wave_749",-5.07152391234823
"Wave_750",-4.27720543021972
"Wave_751",-4.07260542066683
"Wave_752",-4.15876917144604
"Wave_753",-3.72904842348457
"Wave_754",-3.28069747208564
"Wave_755",-3.17659899136827
"Wave_756",-3.06413431023011
"Wave_757",-2.64252592378711
"Wave_758",-2.37192298408408
"Wave_759",-2.05588013898674
"Wave_760",-1.46300775502171
"Wave_761",-0.93836760120008
"Wave_762",-0.847174833642692
"Wave_763",-1.20851181508073
"Wave_764",-1.55370208982491
"Wave_765",-0.955707573372328
"Wave_766",-0.402861495513531
"Wave_767",0.0555566335271849
"Wave_768",0.245666212145011
"Wave_769",0.215355968640651
"Wave_770",0.277911626704359
"Wave_771",0.722743489252936
"Wave_772",0.899186274153932
"Wave_773",1.13842448202953
"Wave_774",1.13355132358188
"Wave_775",1.29496182198178
"Wave_776",1.81052646433552
"Wave_777",2.45842712477293
"Wave_778",2.39560127598157
"Wave_779",2.03331716793359
"Wave_780",2.13107363084429
"Wave_781",2.49857334187844
"Wave_782",2.39012060029004
"Wave_783",2.79741509469534
"Wave_784",2.96337114552685
"Wave_785",2.79575758395591
"Wave_786",2.98956825386337
"Wave_787",2.57892004232193
