"","glucose_umol_m2.8.comps"
"Wave_706",-2.27774464956148
"Wave_707",-2.0752317049735
"Wave_708",-1.86881476503979
"Wave_709",-1.68306914893953
"Wave_710",-1.40161936577703
"Wave_711",-1.12470071400677
"Wave_712",-0.860286915317131
"Wave_713",-0.646475668329067
"Wave_714",-0.363719395198597
"Wave_715",-0.105796331877778
"Wave_716",0.133018965334595
"Wave_717",0.356165736881975
"Wave_718",0.639107616365627
"Wave_719",0.860827669251877
"Wave_720",1.0371853014225
"Wave_721",1.23110341534755
"Wave_722",1.38420365304018
"Wave_723",1.50691539471988
"Wave_724",1.63913776952287
"Wave_725",1.72424041208511
"Wave_726",1.79516243149821
"Wave_727",1.85571254968761
"Wave_728",1.85263761258182
"Wave_729",1.83640596782852
"Wave_730",1.78561774734654
"Wave_731",1.7463454115015
"Wave_732",1.68111694700786
"Wave_733",1.62806790919496
"Wave_734",1.56265376241202
"Wave_735",1.45274094075154
"Wave_736",1.38463308830004
"Wave_737",1.32919983807899
"Wave_738",1.26187839559052
"Wave_739",1.1199345517674
"Wave_740",1.04723632359237
"Wave_741",0.976178810542371
"Wave_742",0.902524804480659
"Wave_743",0.836956340867664
"Wave_744",0.749754959922491
"Wave_745",0.707668398492192
"Wave_746",0.641929097426613
"Wave_747",0.616093009293088
"Wave_748",0.630742743826056
"Wave_749",0.613659196015486
"Wave_750",0.616214658067556
"Wave_751",0.593529167062989
"Wave_752",0.534450521305434
"Wave_753",0.503588944691283
"Wave_754",0.49479348454623
"Wave_755",0.515273377812817
"Wave_756",0.514470001239838
"Wave_757",0.538987139945233
"Wave_758",0.535057737813887
"Wave_759",0.524131681860226
"Wave_760",0.545669712328284
"Wave_761",0.52316960885345
"Wave_762",0.518296614608872
"Wave_763",0.530580083585806
"Wave_764",0.563867677684414
"Wave_765",0.601912787517537
"Wave_766",0.63712919622856
"Wave_767",0.648724433289582
"Wave_768",0.635970054947258
"Wave_769",0.682084052592086
"Wave_770",0.689379132962436
"Wave_771",0.706010831057378
"Wave_772",0.704112317387068
"Wave_773",0.700610883243951
"Wave_774",0.712529331300893
"Wave_775",0.737509658805878
"Wave_776",0.723714119970112
"Wave_777",0.732072510898891
"Wave_778",0.718063940667305
"Wave_779",0.717457261358602
"Wave_780",0.744059107710665
"Wave_781",0.751887347285598
"Wave_782",0.737243460167973
"Wave_783",0.780663668482678
"Wave_784",0.798282049372879
"Wave_785",0.793571180445636
"Wave_786",0.709525632854612
"Wave_787",0.700704217349109
"Wave_788",0.715773144770191
"Wave_789",0.737930307793854
"Wave_790",0.692553062168709
"Wave_791",0.692920676191547
"Wave_792",0.67447334848963
"Wave_793",0.661360622845146
"Wave_794",0.674276494275329
"Wave_795",0.669501584866387
"Wave_796",0.68805395684063
"Wave_797",0.661285683044068
"Wave_798",0.626984906706917
"Wave_799",0.594382903033817
"Wave_800",0.595465320059763
"Wave_801",0.61021666991172
"Wave_802",0.587476068332454
"Wave_803",0.584796753565305
"Wave_804",0.576031790430753
"Wave_805",0.5474882297761
"Wave_806",0.581867298730305
"Wave_807",0.564225204444079
"Wave_808",0.557485704333864
"Wave_809",0.522914423401402
"Wave_810",0.453575252073991
"Wave_811",0.450211031484565
"Wave_812",0.497530671884451
"Wave_813",0.497433537300936
"Wave_814",0.477072137971322
"Wave_815",0.406101934541515
"Wave_816",0.380980690465694
"Wave_817",0.357864335914721
"Wave_818",0.328693391092859
"Wave_819",0.306942796059725
"Wave_820",0.329328843716796
"Wave_821",0.279466608364302
"Wave_822",0.255586397076245
"Wave_823",0.252459795369513
"Wave_824",0.224993480130299
"Wave_825",0.255010889116209
"Wave_826",0.257108773746366
"Wave_827",0.18303457633265
"Wave_828",0.120980448385703
"Wave_829",0.156820239800868
"Wave_830",0.13130400477969
"Wave_831",0.173386652754438
"Wave_832",0.174717977976106
"Wave_833",0.0996126201097898
"Wave_834",0.0555317861833139
"Wave_835",0.0305963497541393
"Wave_836",0.0794986228519517
"Wave_837",0.0482337758545738
"Wave_838",0.0387102201089156
"Wave_839",0.0287926979516314
"Wave_840",0.0076526343158575
"Wave_841",-0.01253719848605
"Wave_842",0.0330116931919672
"Wave_843",-0.0115719132791989
"Wave_844",-0.0331434270806931
"Wave_845",0.00968370863395544
"Wave_846",-0.0967733227702623
"Wave_847",-0.112801536865642
"Wave_848",-0.102649937299858
"Wave_849",-0.171652972336507
"Wave_850",-0.201617696749617
"Wave_851",-0.203697560613244
"Wave_852",-0.211082492188275
"Wave_853",-0.254025820483905
"Wave_854",-0.261483444767252
"Wave_855",-0.193597361064594
"Wave_856",-0.192694114661102
"Wave_857",-0.200225022307755
"Wave_858",-0.24068971360238
"Wave_859",-0.280127852268783
"Wave_860",-0.259530045537043
"Wave_861",-0.242274150539673
"Wave_862",-0.262345740029536
"Wave_863",-0.273109653331354
"Wave_864",-0.302243071114435
"Wave_865",-0.34452082509531
"Wave_866",-0.393408337155512
"Wave_867",-0.392443611411986
"Wave_868",-0.357740922212562
"Wave_869",-0.343518275795572
"Wave_870",-0.390168784845951
"Wave_871",-0.42953991049621
"Wave_872",-0.39496788844284
"Wave_873",-0.375290094517005
"Wave_874",-0.411472041304156
"Wave_875",-0.44221321233367
"Wave_876",-0.456337598210883
"Wave_877",-0.480224819052287
"Wave_878",-0.428839537140507
"Wave_879",-0.429525493731266
"Wave_880",-0.476582784425404
