"","nitrate_umol_m2.10.comps"
"Wave_703",1.25840439801298
"Wave_704",1.4739091320074
"Wave_705",1.89417438292853
"Wave_706",2.41170392884482
"Wave_707",2.49284698770749
"Wave_708",2.52897958849454
"Wave_709",2.70156937227325
"Wave_710",3.16142613926402
"Wave_711",3.11799558404239
"Wave_712",3.0844628060269
"Wave_713",3.11280452327749
"Wave_714",3.02436603961544
"Wave_715",2.77417986371869
"Wave_716",2.50109866396516
"Wave_717",2.05439578730349
"Wave_718",1.52490513195828
"Wave_719",0.948335843773438
"Wave_720",0.545164547514885
"Wave_721",0.279125019245809
"Wave_722",-0.133206689068472
"Wave_723",-0.726445984372242
"Wave_724",-1.26895001240992
"Wave_725",-1.81679515904073
"Wave_726",-2.11866425395872
"Wave_727",-2.32033139000931
"Wave_728",-2.61195682927865
"Wave_729",-2.84522263560824
"Wave_730",-2.85474262316509
"Wave_731",-3.1358058005312
"Wave_732",-3.42575169046274
"Wave_733",-3.47422189697504
"Wave_734",-3.40885315454136
"Wave_735",-3.45342670491832
"Wave_736",-3.14690252294893
"Wave_737",-2.90512741198729
"Wave_738",-2.66030208310303
"Wave_739",-2.42010615842642
"Wave_740",-2.02737989201989
"Wave_741",-1.59116947418174
"Wave_742",-1.27660482977874
"Wave_743",-1.42279701460573
"Wave_744",-1.11161324868853
"Wave_745",-0.653011884553388
"Wave_746",-0.235094982201106
"Wave_747",0.0735826989663811
"Wave_748",0.206009032073207
"Wave_749",0.120348426693146
"Wave_750",0.15669156487638
"Wave_751",0.0893333166124845
"Wave_752",0.115388860299287
"Wave_753",0.274126108192072
"Wave_754",0.18714091095084
"Wave_755",0.147581863989722
"Wave_756",0.203966666855403
"Wave_757",0.211894297306526
"Wave_758",0.385077510543404
"Wave_759",0.489866819461331
"Wave_760",0.673617840269781
"Wave_761",0.849186569056084
"Wave_762",0.800028204138356
"Wave_763",0.839858656490633
"Wave_764",0.726807263208938
"Wave_765",0.8610021764213
"Wave_766",0.982631508200807
"Wave_767",1.08029223527029
"Wave_768",1.21740796665676
"Wave_769",1.18743800778129
"Wave_770",1.192228645963
"Wave_771",1.16351246915107
"Wave_772",1.03938365340062
"Wave_773",1.31697911118715
"Wave_774",1.30711878752041
"Wave_775",1.25012059342306
"Wave_776",1.43621549431253
"Wave_777",1.68117795639927
"Wave_778",1.77702984548756
"Wave_779",1.569176060184
"Wave_780",1.53118412516631
"Wave_781",1.43124670950668
"Wave_782",1.26349046205913
"Wave_783",1.33680225673037
"Wave_784",1.33864049061369
"Wave_785",1.29745185868813
"Wave_786",1.52754632437693
"Wave_787",1.52426293949719
"Wave_788",1.46411314650769
"Wave_789",1.26081604922734
"Wave_790",1.35367481058208
"Wave_791",1.13071896767393
"Wave_792",1.50543057210518
"Wave_793",1.58272108885429
"Wave_794",1.45645703078227
"Wave_795",1.39942124904447
"Wave_796",0.957216643306203
"Wave_797",1.06861554285008
"Wave_798",1.0836853154807
"Wave_799",1.29343500290895
"Wave_800",1.3341725650052
"Wave_801",1.23435749557786
"Wave_802",1.18867199292175
"Wave_803",1.08253674441015
"Wave_804",0.807252016628827
"Wave_805",0.527658806590559
"Wave_806",0.855328152649333
"Wave_807",1.12558242370746
"Wave_808",1.13057423129968
"Wave_809",1.02271902697014
"Wave_810",1.12346774534329
"Wave_811",0.63194747914786
"Wave_812",0.167730012842241
"Wave_813",0.0829793225837941
