"","N_g_m2.13.comps"
"Wave_703",0.282086345311549
"Wave_704",0.375259321305957
"Wave_705",0.597969425800193
"Wave_706",0.879172094728932
"Wave_707",0.917258640453502
"Wave_708",0.89175727059449
"Wave_709",1.04210688601045
"Wave_710",1.23926818913037
"Wave_711",1.37742187502239
"Wave_712",1.36934000387923
"Wave_713",1.44751591082028
"Wave_714",1.43754972018806
"Wave_715",1.22247027672181
"Wave_716",1.1714263247846
"Wave_717",1.12783036396158
"Wave_718",1.01486311529677
"Wave_719",0.849807337740065
"Wave_720",0.696557593764594
"Wave_721",0.510521215326761
"Wave_722",0.318032173529345
"Wave_723",0.148478497260079
"Wave_724",-0.0413876291757233
"Wave_725",-0.24234208743181
"Wave_726",-0.418250516265185
"Wave_727",-0.575389675713357
"Wave_728",-0.719367114049243
"Wave_729",-0.872224939980129
"Wave_730",-1.04700940601801
"Wave_731",-1.20820083191063
"Wave_732",-1.28459616434898
"Wave_733",-1.38561506003836
"Wave_734",-1.5603438624528
"Wave_735",-1.73380664666864
"Wave_736",-1.84511375634913
"Wave_737",-1.93406954287099
"Wave_738",-1.9949777268365
"Wave_739",-1.94596613238165
"Wave_740",-1.81491510114675
"Wave_741",-1.79201659951685
"Wave_742",-1.77814669371082
"Wave_743",-1.86580712136624
"Wave_744",-1.75756418392922
"Wave_745",-1.59185095668376
"Wave_746",-1.4287868293498
"Wave_747",-1.46368282709909
"Wave_748",-1.34982653936752
"Wave_749",-1.27116224348188
"Wave_750",-1.18617272085199
"Wave_751",-1.10266735275055
"Wave_752",-0.987337122166646
"Wave_753",-0.90686507521962
"Wave_754",-0.807352184205296
"Wave_755",-0.705791305904046
"Wave_756",-0.578440443844477
"Wave_757",-0.470641028875565
"Wave_758",-0.353357143868624
"Wave_759",-0.250184218153091
"Wave_760",-0.0674709632647319
"Wave_761",0.140436877265374
"Wave_762",0.184663601874107
"Wave_763",0.130432955796597
"Wave_764",0.0794906245290096
"Wave_765",0.212678013068568
"Wave_766",0.348622690927357
"Wave_767",0.48518655236925
"Wave_768",0.582555420606894
"Wave_769",0.656467027746826
"Wave_770",0.659488406963422
"Wave_771",0.743913341645483
"Wave_772",0.824372367078575
"Wave_773",0.897174660459219
"Wave_774",0.899140887808894
"Wave_775",0.943236084584466
"Wave_776",1.11584001123904
"Wave_777",1.22706838805903
"Wave_778",1.24073718582088
"Wave_779",1.24730457752838
"Wave_780",1.27593545165322
"Wave_781",1.26775045926956
"Wave_782",1.29202110557969
"Wave_783",1.24054750406463
"Wave_784",1.24453608232433
"Wave_785",1.29406035376069
"Wave_786",1.39494244690994
"Wave_787",1.30792587116745
"Wave_788",1.24787507270894
"Wave_789",1.14276528110302
"Wave_790",1.2321118111849
"Wave_791",1.24043406049481
"Wave_792",1.36816959314473
"Wave_793",1.48324686668053
"Wave_794",1.44414996032606
"Wave_795",1.38179669617434
"Wave_796",1.14224034477975
"Wave_797",1.11049260005182
"Wave_798",1.21095130612831
"Wave_799",1.33092712974273
"Wave_800",1.31642809323775
"Wave_801",1.29942048337604
"Wave_802",1.26393987006958
"Wave_803",1.14999461719431
"Wave_804",1.07439305093206
"Wave_805",0.891509485191674
"Wave_806",0.996702024012306
"Wave_807",1.18900070710952
"Wave_808",1.17345905594782
"Wave_809",1.03541653494323
"Wave_810",1.08117808514761
"Wave_811",1.12340119823229
"Wave_812",1.01991734895556
"Wave_813",1.12186637914727
"Wave_814",1.06894894925655
"Wave_815",1.01096139205842
"Wave_816",0.782930446563692
"Wave_817",0.607953596586128
"Wave_818",0.532756716406916
"Wave_819",0.475746191829885
"Wave_820",0.594192854122887
"Wave_821",0.794005769823625
"Wave_822",0.688822599855669
"Wave_823",0.579021472635879
"Wave_824",0.631592229916799
"Wave_825",0.545007382726808
"Wave_826",0.52048017086622
"Wave_827",0.443705742281351
"Wave_828",0.417666717604275
"Wave_829",0.378971546411095
"Wave_830",0.270707502039517
"Wave_831",0.188084675813448
"Wave_832",0.0858448951366876
"Wave_833",0.113407063620215
"Wave_834",0.160445242156792
"Wave_835",0.0933451637304448
"Wave_836",0.0438311604952817
"Wave_837",0.113794361723152
"Wave_838",0.268575760923038
"Wave_839",-0.121575969839341
"Wave_840",-0.0508546027697121
"Wave_841",-0.0468756241526981
"Wave_842",-0.135741076705608
"Wave_843",-0.185302615760918
"Wave_844",-0.262918252468591
"Wave_845",-0.514668250635174
"Wave_846",-0.390360221422245
"Wave_847",-0.206095113388354
"Wave_848",-0.212050330709333
"Wave_849",-0.293753475398199
"Wave_850",-0.416534884943222
"Wave_851",-0.242127992736142
"Wave_852",-0.299693924573179
"Wave_853",-0.438720331986544
"Wave_854",-0.177741559284084
"Wave_855",-0.221072481922681
"Wave_856",-0.497149689344374
"Wave_857",-0.652452116187653
"Wave_858",-0.588774073044939
"Wave_859",-0.322234687366826
"Wave_860",-0.080108348114518
"Wave_861",-0.405630014636486
"Wave_862",-0.556647134716107
"Wave_863",-0.767399756222994
"Wave_864",-0.811579755831779
"Wave_865",-0.5953739680716
"Wave_866",-0.356905261089453
"Wave_867",-0.229167275634426
"Wave_868",-0.358350942616434
"Wave_869",-0.488374405624027
"Wave_870",-0.563626618891157
"Wave_871",-0.687361686183168
"Wave_872",-0.689928958669173
"Wave_873",-0.786030180069274
"Wave_874",-0.575616726112927
"Wave_875",-0.53788795807153
"Wave_876",-0.692825796719033
"Wave_877",-0.463797049319459
"Wave_878",-0.234533494898628
"Wave_879",-0.335457888712004
"Wave_880",-0.369543833608304
"Wave_881",-0.357612149849971
"Wave_882",-0.463599968204547
"Wave_883",-0.632564500367581
"Wave_884",-0.890716986474211
"Wave_885",-0.513729630761129
"Wave_886",-0.343799816806593
"Wave_887",-0.498379019697292
"Wave_888",-0.700109839587046
"Wave_889",-0.596154022729561
"Wave_890",-0.300955135148292
"Wave_891",-0.143158034050516
"Wave_892",-0.0682548098416882
"Wave_893",-0.214566684548958
"Wave_894",-0.41951775044458
"Wave_895",-0.112709312687418
"Wave_896",-0.406000607004066
"Wave_897",-0.482255791160397
"Wave_898",-0.809012597406089
"Wave_899",-0.892843196329233
"Wave_900",-0.534430204758804
"Wave_901",-0.226241845776003
"Wave_902",-0.115206434171255
"Wave_903",-0.269425146311805
"Wave_904",-0.421017550777248
"Wave_905",-0.523052333169567
"Wave_906",-0.599515058169985
"Wave_907",-0.633030377843099
"Wave_908",-0.650642796497949
"Wave_909",-0.591382015859474
"Wave_910",-0.403850673414268
"Wave_911",-0.372695368743241
"Wave_912",-0.322148550653058
"Wave_913",-0.134523059609166
"Wave_914",-0.242511238974562
"Wave_915",-0.231011154862058
"Wave_916",-0.00627193594187121
"Wave_917",-0.0741714805626811
"Wave_918",-0.34419119415817
"Wave_919",-0.348710351642339
"Wave_920",0.174739109869042
"Wave_921",-0.289069442399705
"Wave_922",-0.42081230741003
"Wave_923",-0.282763981135942
"Wave_924",-0.0815768306777593
"Wave_925",0.15717247340605
"Wave_926",0.314508988796017
"Wave_927",0.184837215844607
"Wave_928",0.000267088919228026
"Wave_929",0.0470721045476924
"Wave_930",0.0317464844257766
"Wave_931",0.144006113234942
"Wave_932",0.231853521557823
"Wave_933",-0.019748864561865
"Wave_934",-0.615215542558936
"Wave_935",-0.457389987593749
"Wave_936",-0.108150875493057
"Wave_937",0.0274509970580874
"Wave_938",0.435801980211968
"Wave_939",0.844317366623743
"Wave_940",0.830885715456601
"Wave_941",0.534608334394094
"Wave_942",-0.303710689734538
"Wave_943",0.0401446364766112
"Wave_944",0.189793935029511
"Wave_945",0.229747419331225
"Wave_946",0.279406590968523
"Wave_947",0.224886397517318
"Wave_948",-0.196926120960232
"Wave_949",-0.270047153687668
"Wave_950",0.110969635049899
"Wave_951",0.349012866609139
"Wave_952",0.496179708652126
"Wave_953",0.273519329378539
"Wave_954",-0.166257897113143
"Wave_955",-0.212697313926066
"Wave_956",-0.16716084383543
"Wave_957",0.0643484525675099
"Wave_958",0.765901509979017
"Wave_959",0.293765527379212
"Wave_960",-0.264379701603236
"Wave_961",-0.0228215100331249
"Wave_962",0.202827258787765
"Wave_963",0.378055664979918
"Wave_964",0.0755412033279272
"Wave_965",-0.628444444179697
"Wave_966",-0.150155955643311
"Wave_967",0.184471497482859
"Wave_968",-0.294045258090536
"Wave_969",0.46794432258439
"Wave_970",-0.00105790358879032
"Wave_971",-0.314864174329996
"Wave_972",-0.627500659487913
"Wave_973",-0.523583388746083
"Wave_974",-0.419666061487302
"Wave_975",-0.295910894443001
"Wave_976",-0.340323886447253
"Wave_977",-0.644428504530582
"Wave_978",-0.94853309944124
"Wave_979",-0.941140899623139
"Wave_980",-0.677791214342899
"Wave_981",-0.266877347120437
"Wave_982",0.119801005032892
"Wave_983",0.288358726833827
"Wave_984",0.229543069873575
"Wave_985",0.113883993483961
"Wave_986",-0.00461167464143672
"Wave_987",-0.134453703898216
"Wave_988",-0.0508891695313532
"Wave_989",0.0326753473617217
"Wave_990",0.140779722963586
"Wave_991",0.213075613470649
"Wave_992",-0.00510149629579879
"Wave_993",-0.223278642675474
"Wave_994",-0.45731543785297
"Wave_995",-0.552207894753091
"Wave_996",-0.29775974146367
"Wave_997",-0.043311443004068
"Wave_998",0.139380051446311
"Wave_999",0.0992943540697309
"Wave_1000",-0.132815805021455
"Wave_1001",-0.364925946302884
"Wave_1002",-0.5086788296619
"Wave_1003",-0.598194283544638
"Wave_1004",-0.668672654058404
"Wave_1005",-0.734982066029467
"Wave_1006",-0.763770651152019
"Wave_1007",-0.681158377872278
"Wave_1008",-0.586168192008625
"Wave_1009",-0.509360539112428
"Wave_1010",-0.509981020216408
"Wave_1011",-0.552879834157739
"Wave_1012",-0.595778589155191
"Wave_1013",-0.624815271010333
"Wave_1014",-0.647938737695307
"Wave_1015",-0.705782010358396
"Wave_1016",-0.763625235287944
"Wave_1017",-0.845925629173275
"Wave_1018",-0.883361188025167
"Wave_1019",-0.859627095518175
"Wave_1020",-0.835893051220933
"Wave_1021",-0.805875465180214
"Wave_1022",-0.825254922738816
"Wave_1023",-0.866958665830471
"Wave_1024",-0.908662475488962
"Wave_1025",-0.935767017930536
"Wave_1026",-0.961291155006101
"Wave_1027",-0.986819836889999
"Wave_1028",-1.01278840691524
"Wave_1029",-1.03783712085498
"Wave_1030",-1.01897693839603
"Wave_1031",-1.00011684069519
"Wave_1032",-0.982129938077918
"Wave_1033",-0.953156338241099
"Wave_1034",-0.890397033938853
"Wave_1035",-0.827637758453162
"Wave_1036",-0.756124887154722
"Wave_1037",-0.715216237712113
"Wave_1038",-0.71804184067858
"Wave_1039",-0.720867643819808
"Wave_1040",-0.748224280298316
"Wave_1041",-0.758453165377066
"Wave_1042",-0.754332730990324
"Wave_1043",-0.750212250383967
"Wave_1044",-0.724084014966551
"Wave_1045",-0.695528243186992
"Wave_1046",-0.667314109220517
"Wave_1047",-0.639099832161664
"Wave_1048",-0.617909839658064
"Wave_1049",-0.59151951396246
"Wave_1050",-0.565129124674758
"Wave_1051",-0.538736234731932
"Wave_1052",-0.512693657528043
"Wave_1053",-0.487525099134641
"Wave_1054",-0.462356446930858
"Wave_1055",-0.436543576653219
"Wave_1056",-0.407824985722421
"Wave_1057",-0.377703764620867
"Wave_1058",-0.347582513981568
"Wave_1059",-0.33083063055199
"Wave_1060",-0.318833217707266
"Wave_1061",-0.303143594802554
"Wave_1062",-0.287454088475076
"Wave_1063",-0.256586648770921
"Wave_1064",-0.226838743910806
"Wave_1065",-0.197938047955211
"Wave_1066",-0.169037266871727
"Wave_1067",-0.147079321457131
"Wave_1068",-0.14375448979857
"Wave_1069",-0.140429579518875
"Wave_1070",-0.137104686195398
"Wave_1071",-0.136298270870663
"Wave_1072",-0.132745772642907
"Wave_1073",-0.129193279276285
"Wave_1074",-0.128629491406423
"Wave_1075",-0.133325536026992
"Wave_1076",-0.131326584621752
"Wave_1077",-0.129327544347233
"Wave_1078",-0.11561650733449
"Wave_1079",-0.0925609453237547
"Wave_1080",-0.0730296058671795
"Wave_1081",-0.0534983034110929
"Wave_1082",-0.045572108049107
"Wave_1083",-0.0257936693306904
"Wave_1084",-0.00383874689138376
"Wave_1085",0.0181161310263215
"Wave_1086",0.0358326093278371
"Wave_1087",0.0711605163279935
"Wave_1088",0.106488627553081
"Wave_1089",0.141816640886487
"Wave_1090",0.190887943618838
"Wave_1091",0.211081145899038
"Wave_1092",0.231274446956196
"Wave_1093",0.247811934712116
"Wave_1094",0.252860055856437
"Wave_1095",0.259997332586211
"Wave_1096",0.267134639218331
"Wave_1097",0.2694632136264
"Wave_1098",0.272240769073446
"Wave_1099",0.277935814533402
"Wave_1100",0.283630767518841
"Wave_1101",0.286507498103137
"Wave_1102",0.300270793592047
"Wave_1103",0.314034115065286
"Wave_1104",0.3277974253043
"Wave_1105",0.343177619661875
"Wave_1106",0.33516233667809
"Wave_1107",0.327147212204052
"Wave_1108",0.319132011182654
"Wave_1109",0.3289111289465
"Wave_1110",0.36634825339798
"Wave_1111",0.403785486974173
"Wave_1112",0.438952361831164
"Wave_1113",0.458585182762224
"Wave_1114",0.481483690774399
"Wave_1115",0.504382203338577
"Wave_1116",0.532287345706713
"Wave_1117",0.509932426672158
"Wave_1118",0.472091912862034
"Wave_1119",0.434251444518992
"Wave_1120",0.400575230861421
"Wave_1121",0.423030375574206
"Wave_1122",0.445485515740848
"Wave_1123",0.467940670117481
"Wave_1124",0.474186213355097
"Wave_1125",0.482366840148586
"Wave_1126",0.490547632087792
"Wave_1127",0.49872839804858
"Wave_1128",0.492434776449805
"Wave_1129",0.489414162609271
"Wave_1130",0.486393612113581
"Wave_1131",0.480693859486492
"Wave_1132",0.4568119137346
"Wave_1133",0.435471458584135
"Wave_1134",0.414130914839107
"Wave_1135",0.382737090916084
"Wave_1136",0.307821441699895
"Wave_1137",0.230676498708744
"Wave_1138",0.153531517807354
"Wave_1139",0.0693152377577974
"Wave_1140",0.0515488643194994
"Wave_1141",0.033782535957736
"Wave_1142",0.0160161439753202
"Wave_1143",-0.0122313878760808
"Wave_1144",-0.077823892273962
"Wave_1145",-0.143416508528621
"Wave_1146",-0.209009060350555
"Wave_1147",-0.227183684048344
"Wave_1148",-0.230022848007024
"Wave_1149",-0.232861992134405
"Wave_1150",-0.237291987844379
"Wave_1151",-0.210660161143505
"Wave_1152",-0.172683520434773
"Wave_1153",-0.13470691777714
"Wave_1154",-0.0660120931743721
"Wave_1155",-0.12009091566148
"Wave_1156",-0.174169857796803
"Wave_1157",-0.228248611020432
"Wave_1158",-0.277318890016387
"Wave_1159",-0.291991639736871
"Wave_1160",-0.306664495646042
"Wave_1161",-0.321337300374907
"Wave_1162",-0.31466564470814
"Wave_1163",-0.29131599850377
"Wave_1164",-0.267966272174141
"Wave_1165",-0.244616625629094
"Wave_1166",-0.242189524167155
"Wave_1167",-0.249127202462728
"Wave_1168",-0.256064812108001
"Wave_1169",-0.262115918393074
"Wave_1170",-0.284297744090085
"Wave_1171",-0.308665932426023
"Wave_1172",-0.333034032690575
"Wave_1173",-0.359543761041921
"Wave_1174",-0.390366223999971
"Wave_1175",-0.421188715261713
"Wave_1176",-0.452011202371622
"Wave_1177",-0.464674101369153
"Wave_1178",-0.451835597335813
"Wave_1179",-0.438997004668971
"Wave_1180",-0.426158433271623
"Wave_1181",-0.4157892095156
"Wave_1182",-0.403841005393441
"Wave_1183",-0.391892739903956
"Wave_1184",-0.37994450754018
"Wave_1185",-0.330577600410632
"Wave_1186",-0.278105835953534
"Wave_1187",-0.225634055262911
"Wave_1188",-0.178825387976659
"Wave_1189",-0.096274075479656
"Wave_1190",-0.0137229277060722
"Wave_1191",0.068828336820677
"Wave_1192",0.14111080180531
"Wave_1193",0.110396869506459
"Wave_1194",0.079682970727373
"Wave_1195",0.0489690349228626
"Wave_1196",0.0312187440999585
"Wave_1197",0.0440534736955972
"Wave_1198",0.0568882364926747
"Wave_1199",0.0697230229523359
"Wave_1200",0.0889977012709033
"Wave_1201",0.108624365007782
"Wave_1202",0.128251045239474
"Wave_1203",0.14827486419525
"Wave_1204",0.169852703711226
"Wave_1205",0.191206070673272
"Wave_1206",0.212559404637683
"Wave_1207",0.233532912175663
"Wave_1208",0.249009783085188
"Wave_1209",0.264486553953901
"Wave_1210",0.279963355856185
"Wave_1211",0.291304397900037
"Wave_1212",0.295686438040613
"Wave_1213",0.300068499826309
"Wave_1214",0.304450552804245
"Wave_1215",0.300339758657995
"Wave_1216",0.292262733170106
"Wave_1217",0.284185751584499
"Wave_1218",0.276108728083986
"Wave_1219",0.280612878543765
"Wave_1220",0.284009201434933
"Wave_1221",0.287405607766036
"Wave_1222",0.289959012719876
"Wave_1223",0.299563098703109
"Wave_1224",0.309167330506022
"Wave_1225",0.318771486204575
"Wave_1226",0.329959521880719
"Wave_1227",0.338869566674061
"Wave_1228",0.347779801641902
"Wave_1229",0.356689985082817
"Wave_1230",0.358605933671209
"Wave_1231",0.359767437453529
"Wave_1232",0.360929018090806
"Wave_1233",0.362090664017434
"Wave_1234",0.382936068605593
"Wave_1235",0.408306781448835
"Wave_1236",0.433677503885499
"Wave_1237",0.457979475474771
"Wave_1238",0.465250658336949
"Wave_1239",0.472521746045177
"Wave_1240",0.47979298422469
"Wave_1241",0.488858852474905
"Wave_1242",0.498714593008856
"Wave_1243",0.508570429518814
"Wave_1244",0.518426201730911
"Wave_1245",0.520532476564421
"Wave_1246",0.518386856692733
"Wave_1247",0.516241066820514
"Wave_1248",0.514095392257056
"Wave_1249",0.528677564125209
"Wave_1250",0.546251760036225
"Wave_1251",0.563825984100843
"Wave_1252",0.578500083614862
"Wave_1253",0.575074620766225
"Wave_1254",0.571649088994356
"Wave_1255",0.568223684934318
"Wave_1256",0.564855562264946
"Wave_1257",0.561621542452452
"Wave_1258",0.558387451618746
"Wave_1259",0.555153350813955
"Wave_1260",0.543921791976304
"Wave_1261",0.524613468583177
"Wave_1262",0.5053051961206
"Wave_1263",0.485996905804385
"Wave_1264",0.48989961218741
"Wave_1265",0.499605171755768
"Wave_1266",0.509310687802956
"Wave_1267",0.518436086670641
"Wave_1268",0.519384641632632
"Wave_1269",0.520333227603024
"Wave_1270",0.521281851501133
"Wave_1271",0.528753295031157
"Wave_1272",0.557723054568651
"Wave_1273",0.586692803673499
"Wave_1274",0.61566262554089
"Wave_1275",0.624381314595012
"Wave_1276",0.621988755103217
"Wave_1277",0.619596390665328
"Wave_1278",0.617203911723903
"Wave_1279",0.637941181065493
"Wave_1280",0.665757482588144
"Wave_1281",0.693573785015934
"Wave_1282",0.721390020484294
"Wave_1283",0.682269879936279
"Wave_1284",0.643149705730192
"Wave_1285",0.604029588211076
"Wave_1286",0.567884600058246
"Wave_1287",0.552336226335342
"Wave_1288",0.536787883988705
"Wave_1289",0.521239571772321
"Wave_1290",0.512032880914809
"Wave_1291",0.509167898243447
"Wave_1292",0.506302868345594
"Wave_1293",0.503437850480211
"Wave_1294",0.499339082527817
"Wave_1295",0.494931815886271
"Wave_1296",0.490524594794703
"Wave_1297",0.486117297544837
"Wave_1298",0.476750530676536
"Wave_1299",0.467383885566168
"Wave_1300",0.458017146071244
"Wave_1301",0.454400168776591
"Wave_1302",0.464199670286817
"Wave_1303",0.473999094586577
"Wave_1304",0.48379852889792
"Wave_1305",0.475714099459621
"Wave_1306",0.448781869510318
"Wave_1307",0.42184960743945
"Wave_1308",0.394917345631915
"Wave_1309",0.378741520037782
"Wave_1310",0.365254651267
"Wave_1311",0.351767900734861
"Wave_1312",0.340268832790872
"Wave_1313",0.327859483930981
"Wave_1314",0.315450160439922
"Wave_1315",0.303040804710487
"Wave_1316",0.287380916688534
"Wave_1317",0.264136619213254
"Wave_1318",0.240892276134926
"Wave_1319",0.217647996277875
"Wave_1320",0.19491056036032
"Wave_1321",0.172510896832042
"Wave_1322",0.150111376923725
"Wave_1323",0.12771173269536
"Wave_1324",0.104031531117523
